Rk,G,Date,Age,Tm,0,Opp,0,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
35,35,27-12-17,33-313,WAS,@,ATL,L (-14),1,20:42,1,6,0.167,0,0,0,0,0,0,0,4,4,0,0,0,1,2,2,-2.4,-1
36,36,29-12-17,33-315,WAS,0,HOU,W (+18),1,18:57,2,3,0.667,0,0,0,0,0,0,1,6,7,2,0,1,0,1,4,6.9,2
37,37,31-12-17,33-317,WAS,0,CHI,W (+4),1,24:46:00,4,6,0.667,0,0,0,0,0,0,3,2,5,1,0,1,3,1,8,6.1,1
38,38,03-01-18,33-320,WAS,0,NYK,W (+18),1,29:15:00,9,10,0.9,0,0,0,3,7,0.429,1,7,8,2,1,1,3,4,21,17.3,24
39,39,05-01-18,33-322,WAS,@,MEM,W (+2),1,26:38:00,3,12,0.25,0,0,0,2,4,0.5,2,3,5,1,0,2,0,5,8,2.4,2
40,40,06-01-18,33-323,WAS,0,MIL,L (-7),1,33:14:00,7,10,0.7,0,0,0,3,6,0.5,0,7,7,1,0,3,0,3,17,15.3,-1
41,41,10-01-18,33-327,WAS,0,UTA,L (-3),1,27:08:00,4,7,0.571,0,0,0,0,0,0,1,7,8,2,0,0,0,1,8,8.5,5
42,42,12-01-18,33-329,WAS,0,ORL,W (+6),1,27:07:00,6,9,0.667,0,0,0,0,0,0,6,5,11,1,1,0,0,4,12,13.9,-2
43,43,13-01-18,33-330,WAS,0,BRK,W (+6),1,30:02:00,6,8,0.75,0,0,0,4,6,0.667,5,8,13,2,1,1,1,2,16,19.2,2
44,44,15-01-18,33-332,WAS,0,MIL,L (-9),1,25:39:00,2,6,0.333,0,0,0,0,2,0,4,3,7,0,1,1,2,2,4,2.4,-14
45,45,17-01-18,33-334,WAS,@,CHO,L (-24),1,19:42,0,3,0,0,0,0,0,2,0,3,5,8,1,2,0,0,2,0,2.6,-23
46,46,19-01-18,33-336,WAS,@,DET,W (+10),1,18:38,4,7,0.571,0,0,0,2,2,1,0,2,2,2,0,0,0,2,10,7.9,5
47,47,22-01-18,33-339,WAS,@,DAL,L (-23),1,17:43,2,7,0.286,0,0,0,2,4,0.5,6,5,11,1,0,0,0,0,6,7.5,3
48,48,25-01-18,33-342,WAS,@,OKC,L (-9),1,20:44,2,3,0.667,0,0,0,0,0,0,0,1,1,1,0,0,3,5,4,-1.3,3
49,49,27-01-18,33-344,WAS,@,ATL,W (+25),1,18:33,3,5,0.6,0,0,0,0,0,0,1,5,6,0,1,2,2,2,6,5.5,12
50,50,30-01-18,33-347,WAS,0,OKC,W (+6),1,25:34:00,4,12,0.333,0,0,0,3,3,1,3,4,7,1,0,0,2,3,11,5,23
51,51,01-02-18,33-349,WAS,0,TOR,W (+3),1,26:02:00,5,8,0.625,0,0,0,0,0,0,3,4,7,3,0,0,1,1,10,10.4,0
