Rk,G,Date,Age,Tm,0,Opp,0,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
38,38,06-01-18,32-246,HOU,@,DET,L (-7),0,24:37:00,1,5,0.2,1,4,0.25,0,0,0,1,3,4,3,1,0,1,3,3,2.4,18
39,39,08-01-18,32-248,HOU,@,CHI,W (+9),0,25:13:00,2,5,0.4,2,5,0.4,0,0,0,1,5,6,2,0,0,1,0,6,5.9,9
40,40,10-01-18,32-250,HOU,0,POR,W (+9),0,29:17:00,3,6,0.5,0,1,0,2,2,1,0,4,4,0,0,0,2,5,8,2.2,9
41,41,12-01-18,32-252,HOU,@,PHO,W (+17),0,30:33:00,2,6,0.333,2,4,0.5,0,0,0,0,9,9,1,1,1,1,2,6,5.9,22
42,42,15-01-18,32-255,HOU,@,LAC,L (-11),0,21:54,1,4,0.25,0,1,0,0,0,0,3,4,7,2,0,0,0,2,2,3.5,-4
43,43,18-01-18,32-258,HOU,0,MIN,W (+18),0,33:32:00,2,8,0.25,1,4,0.25,0,0,0,2,7,9,0,1,0,1,4,5,2.1,19
44,44,20-01-18,32-260,HOU,0,GSW,W (+8),0,26:32:00,5,11,0.455,1,3,0.333,1,1,1,3,4,7,0,2,0,1,3,12,9.4,6
45,45,22-01-18,32-262,HOU,0,MIA,W (+9),0,23:58,3,5,0.6,3,4,0.75,0,0,0,0,3,3,0,1,0,0,2,9,7.8,5
46,46,24-01-18,32-264,HOU,@,DAL,W (+7),0,19:28,0,1,0,0,0,0,0,0,0,0,5,5,0,0,0,0,2,0,0,2
47,47,26-01-18,32-266,HOU,@,NOP,L (-2),0,30:31:00,0,3,0,0,3,0,0,0,0,0,4,4,0,4,0,0,3,0,1.9,9
48,48,28-01-18,32-268,HOU,0,PHO,W (+11),0,25:49:00,1,3,0.333,0,2,0,0,0,0,0,7,7,0,1,0,0,2,2,2.6,8
49,49,30-01-18,32-270,HOU,0,ORL,W (+7),0,35:41:00,3,5,0.6,3,5,0.6,0,0,0,0,3,3,1,0,0,1,3,9,6.1,3
50,50,01-02-18,32-272,HOU,@,SAS,W (+11),0,30:53:00,3,7,0.429,2,6,0.333,2,2,1,1,4,5,0,1,0,0,2,10,8.4,9
51,51,03-02-18,32-274,HOU,@,CLE,W (+32),0,34:53:00,2,7,0.286,2,6,0.333,0,0,0,2,7,9,2,0,0,0,4,6,5.2,14
52,52,06-02-18,32-277,HOU,@,BRK,W (+10),0,33:47:00,1,3,0.333,1,2,0.5,0,0,0,0,5,5,2,2,1,3,0,3,3.9,0
53,53,07-02-18,32-278,HOU,@,MIA,W (+8),1,41:00:00,1,2,0.5,1,1,1,0,0,0,1,4,5,1,0,0,2,3,3,1.4,16
54,54,09-02-18,32-280,HOU,0,DEN,W (+26),1,29:31:00,2,8,0.25,2,5,0.4,0,0,0,1,2,3,2,0,0,0,2,6,3.1,8
55,55,11-02-18,32-282,HOU,0,DAL,W (+7),1,25:33:00,1,3,0.333,1,3,0.333,0,0,0,0,1,1,0,3,0,1,1,3,3.2,4
56,56,13-02-18,32-284,HOU,@,MIN,W (+18),1,28:18:00,3,4,0.75,3,4,0.75,1,2,0.5,0,1,1,0,0,0,0,2,10,7.5,14
