Rk,G,Date,Age,Tm,0,Opp,0,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
27,13,15-12-17,32-223,HOU,0,SAS,W (+15),1,32:10:00,10,18,0.556,5,9,0.556,3,3,1,0,4,4,8,7,1,3,3,28,29.7,29
28,14,16-12-17,32-224,HOU,0,MIL,W (+4),1,36:03:00,7,13,0.538,3,8,0.375,8,8,1,0,5,5,6,1,0,6,3,25,18.2,7
29,15,18-12-17,32-226,HOU,0,UTA,W (+21),1,34:34:00,6,13,0.462,3,9,0.333,3,4,0.75,2,8,10,10,1,2,2,3,18,20.9,20
30,16,20-12-17,32-228,HOU,0,LAL,L (-6),1,25:07:00,2,7,0.286,1,5,0.2,3,3,1,0,5,5,5,0,0,3,3,8,4.7,-16
31,0,22-12-17,32-230,HOU,0,LAC,L (-10),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
32,0,25-12-17,32-233,HOU,@,OKC,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
33,0,28-12-17,32-236,HOU,@,BOS,L (-1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
34,17,29-12-17,32-237,HOU,@,WAS,L (-18),1,25:32:00,3,11,0.273,2,5,0.4,0,0,0,0,1,1,6,2,0,1,2,8,6.2,-16
35,18,31-12-17,32-239,HOU,0,LAL,W (+6),1,42:23:00,8,20,0.4,3,10,0.3,9,9,1,0,5,5,10,0,0,2,5,28,21.7,4
36,19,03-01-18,32-242,HOU,@,ORL,W (+18),1,31:32:00,3,13,0.231,1,4,0.25,1,1,1,2,5,7,13,2,0,3,2,8,10.3,23
37,20,04-01-18,32-243,HOU,0,GSW,L (-10),1,36:06:00,10,21,0.476,5,10,0.5,3,3,1,1,6,7,9,0,0,5,5,28,19.1,0
38,21,06-01-18,32-245,HOU,@,DET,L (-7),1,35:06:00,5,10,0.5,3,8,0.375,3,3,1,1,6,7,13,2,0,5,2,16,18.8,0
39,22,08-01-18,32-247,HOU,@,CHI,W (+9),1,35:46:00,8,17,0.471,3,11,0.273,5,5,1,1,7,8,9,2,1,6,3,24,19.9,0
40,23,10-01-18,32-249,HOU,0,POR,W (+9),1,32:41:00,13,29,0.448,3,11,0.273,8,8,1,1,6,7,11,3,0,2,4,37,31.5,4
41,24,12-01-18,32-251,HOU,@,PHO,W (+17),1,27:04:00,9,18,0.5,2,6,0.333,5,7,0.714,2,6,8,6,0,2,0,0,25,24,8
42,25,15-01-18,32-254,HOU,@,LAC,L (-11),1,34:33:00,8,17,0.471,3,10,0.3,0,0,0,0,6,6,7,0,1,1,2,19,15.9,-10
43,26,18-01-18,32-257,HOU,0,MIN,W (+18),1,35:26:00,6,12,0.5,4,8,0.5,3,4,0.75,0,6,6,9,3,0,2,1,19,21.3,23
44,27,20-01-18,32-259,HOU,0,GSW,W (+8),1,35:16:00,10,20,0.5,6,11,0.545,7,8,0.875,1,10,11,7,3,0,4,1,33,29.8,6
45,28,22-01-18,32-261,HOU,0,MIA,W (+9),1,35:30:00,6,13,0.462,3,5,0.6,1,1,1,1,5,6,6,3,0,3,1,16,15.3,12
46,29,24-01-18,32-263,HOU,@,DAL,W (+7),1,30:19:00,3,12,0.25,3,8,0.375,3,4,0.75,0,7,7,4,2,0,2,3,12,8.1,7
47,30,26-01-18,32-265,HOU,@,NOP,L (-2),1,33:55:00,11,19,0.579,4,5,0.8,12,12,1,0,3,3,8,1,0,0,6,38,34.2,1
48,31,28-01-18,32-267,HOU,0,PHO,W (+11),1,27:22:00,4,8,0.5,0,1,0,9,9,1,0,2,2,5,0,0,0,2,17,16.3,5
49,0,30-01-18,32-269,HOU,0,ORL,W (+7),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
50,32,01-02-18,32-271,HOU,@,SAS,W (+11),1,30:23:00,5,14,0.357,0,3,0,0,1,0,0,2,2,2,2,0,3,3,10,1.6,-6
51,33,03-02-18,32-273,HOU,@,CLE,W (+32),1,27:25:00,8,14,0.571,6,9,0.667,0,0,0,1,7,8,11,1,0,0,4,22,25.3,47
52,34,06-02-18,32-276,HOU,@,BRK,W (+10),1,33:47:00,9,15,0.6,4,8,0.5,3,3,1,1,6,7,5,2,0,3,2,25,22.3,13
53,35,07-02-18,32-277,HOU,@,MIA,W (+8),1,36:26:00,10,19,0.526,3,8,0.375,1,2,0.5,0,7,7,7,1,0,1,1,24,20.9,-1
54,36,09-02-18,32-279,HOU,0,DEN,W (+26),1,22:01,3,8,0.375,0,4,0,5,5,1,0,0,0,7,2,0,0,3,11,12.3,25
55,37,11-02-18,32-281,HOU,0,DAL,W (+7),1,35:12:00,9,15,0.6,2,7,0.286,5,6,0.833,0,8,8,9,3,0,2,1,25,27,22
56,38,13-02-18,32-283,HOU,@,MIN,W (+18),1,33:34:00,5,11,0.455,1,5,0.2,2,3,0.667,2,6,8,7,1,1,2,1,13,14.3,22
57,39,14-02-18,32-284,HOU,0,SAC,W (+9),1,30:41:00,6,11,0.545,3,7,0.429,4,4,1,1,3,4,7,2,0,4,1,19,17.8,-6
58,40,23-02-18,32-293,HOU,0,MIN,W (+18),1,32:31:00,5,11,0.455,0,5,0,4,4,1,1,9,10,8,1,0,3,1,14,14.9,9
59,41,25-02-18,32-295,HOU,@,DEN,W (+5),1,32:11:00,6,14,0.429,2,7,0.286,9,10,0.9,2,3,5,6,2,0,3,1,23,20.3,-4
60,42,26-02-18,32-296,HOU,@,UTA,W (+11),1,33:59:00,5,13,0.385,1,4,0.25,4,4,1,1,5,6,7,3,0,2,2,15,15.2,15
61,43,28-02-18,32-298,HOU,@,LAC,W (+13),1,28:58:00,3,12,0.25,1,5,0.2,1,1,1,0,4,4,8,2,1,4,3,8,5.1,21
62,44,03-03-18,32-301,HOU,0,BOS,W (+3),1,35:22:00,5,11,0.455,1,4,0.25,4,4,1,0,1,1,7,1,0,1,5,15,12.5,-7
