
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
27,17,2017-12-13,19-210,OKC,@,IND,W (+5),0,9:47,1,2,.500,1,2,.500,0,0,,0,0,0,0,1,0,0,0,3,3.0,+9
28,18,2017-12-15,19-212,OKC,@,PHI,W (+2),0,2:33,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,+10
29,19,2017-12-16,19-213,OKC,@,NYK,L (-15),0,7:06,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-1
30,,2017-12-18,19-215,OKC,,DEN,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
31,20,2017-12-20,19-217,OKC,,UTA,W (+28),0,5:57,1,3,.333,0,0,,0,0,,0,0,0,0,1,0,1,2,2,-0.5,0
32,,2017-12-22,19-219,OKC,,ATL,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
33,,2017-12-23,19-220,OKC,@,UTA,W (+14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
34,,2017-12-25,19-222,OKC,,HOU,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
35,21,2017-12-27,19-224,OKC,,TOR,W (+17),0,0:16,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
36,,2017-12-29,19-226,OKC,,MIL,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
37,22,2017-12-31,19-228,OKC,,DAL,L (-3),0,13:47,1,2,.500,0,1,.000,0,0,,0,2,2,0,0,0,1,2,2,-0.2,+2
38,23,2018-01-03,19-231,OKC,@,LAL,W (+37),1,32:50,9,12,.750,6,9,.667,0,0,,0,1,1,1,3,0,0,5,24,21.2,+12
